RCAB,Code,Name,Start Date,End Date,Status
NSW VETAB,458,"School Education, Department of",5-Dec-94,30-Jun-00,Non-Current
NSW VETAB,461,Wivenhoe Vocational College,2-Dec-94,1-Dec-97,Non-Current
NSW VETAB,464,G P Traders Pty Ltd,2-Dec-94,31-Jul-04,Non-Current
ASQA,469,SMC Pneumatics Australia Pty Ltd,1-Jul-11,6-Jun-16,Current
NSW VETAB,470,"Presbyterian Church (NSW) Property Trust, The",14-Oct-94,10-Apr-02,Non-Current
NSW VETAB,472,Australian Professional Colour Laboratories Association,10-Jun-92,9-Jun-97,Non-Current
NSW VETAB,481,"William Blue Hotel Management School, The",1-Jan-95,31-Dec-00,Non-Current
ASQA,485,Mobile Welding Services Pty Ltd,1-Sep-15,31-Aug-22,Current
NSW VETAB,486,Academy of Scientific Beauty,1-Jan-95,7-Aug-00,Non-Current
NSW VETAB,489,Educational Horizons Pty Ltd,5-Aug-97,4-Dec-00,Non-Current
NSW VETAB,497,NSW Board of Studies,23-Dec-94,22-Dec-97,Non-Current
NSW VETAB,499,O'Brien Glass Industries Ltd,1-Jan-95,30-Jun-00,Non-Current
ASQA,500,Navitas Professional Institute Pty Ltd,14-Dec-12,13-Dec-17,Current
NSW VETAB,501,ACCESS Competency Recognition Services,1-Jan-95,30-Jun-00,Non-Current
NSW VETAB,502,Kangaroo Valley Public School,13-Apr-94,12-Apr-99,Non-Current
NSW VETAB,511,Insearch Ltd,7-Jun-95,30-May-04,Non-Current
NSW VETAB,512,WSROC Training & Employment,1-Jan-95,5-Apr-08,Non-Current
NSW VETAB,515,St Edmunds School for Blind & Visually Impaired Students,2-Dec-94,1-Dec-97,Non-Current
NSW VETAB,516,"Athlete's Foot Australia Pty Ltd, The",2-Dec-92,1-Dec-97,Non-Current
ASQA,518,The Roman Catholic Church Trust Corporation of the Archdiocese of Hobart,9-Jan-14,8-Jan-19,Current
Tas TQA,520,Launceston College,27-Oct-04,21-Jun-08,Non-Current
Tas TQA,521,Elizabeth College,13-Dec-04,21-Jun-08,Non-Current
Tas TQA,522,Australian Services Union,1-Jan-95,31-Dec-99,Non-Current
Tas TQA,523,Australian Liquor Hospitality & Miscellaneous Workers Union,1-Jan-95,31-Dec-99,Non-Current
QLD DETE,525,Helyna Monica May Burton,1-Jan-98,20-Aug-08,Non-Current
ASQA,526,TAFE Queensland,27-Aug-12,26-Aug-17,Current
QLD DETE,527,The Moreland Group,1-Jan-98,12-Aug-01,Non-Current
QLD DETE,528,Gold Coast City Council,1-Jan-98,30-Mar-01,Non-Current
QLD DETE,534,Liberty Ministry College,1-Jan-98,30-Sep-05,Non-Current
QLD DETE,536,Australian Red Cross Society,1-Jan-98,30-Sep-05,Non-Current
QLD DETE,537,Australian College of Tropical Agriculture,1-Jan-98,31-Oct-05,Non-Current
QLD DETE,538,Greening Australia Queensland (Inc),1-Jan-98,21-Oct-08,Non-Current
QLD DETE,539,P.T.C. Pty.Ltd.,1-Jan-98,30-Mar-10,Non-Current
QLD DETE,540,EHLE AUSTRALIA PTY. LTD.,1-Jan-98,21-Jun-07,Non-Current
QLD DETE,541,Department of Employment and Training,1-Jan-98,31-Dec-02,Non-Current
ASQA,542,TAFE Queensland,29-Jun-12,20-Feb-17,Current
ASQA,543,Skills Training Mackay Association Incorporated,1-Sep-12,31-Aug-17,Current
ASQA,546,Royal Australian Air Force,1-Jun-14,31-May-19,Current
ACT DET,548,AusAID,18-Oct-95,31-Dec-00,Non-Current
ACT DET,550,Department of Immigration and Ethnic Affairs,1-Jan-97,31-Dec-00,Non-Current
ACT DET,551,Department of Finance and Administration,1-Dec-94,31-Dec-00,Non-Current
ACT DET,552,Department of Family and Community Services,1-Jan-97,31-Dec-00,Non-Current
ACT DET,554,Department of Communication and the Arts,1-Jan-97,31-Dec-00,Non-Current
ASQA,561,Minister for Education and Children's Services,1-Jan-14,31-Dec-18,Current
SA DFEEST,564,Forum International Services Pty Ltd,1-Jan-95,31-Jan-00,Non-Current
SA DFEEST,567,Southcorp Australia Pty Ltd,1-Jan-95,30-Jun-99,Non-Current
ASQA,569,The Maxima Group Incorporated,26-Mar-12,29-Sep-16,Current
SA DFEEST,570,Kathryn Dean,19-Dec-03,31-Dec-06,Non-Current
